gps_seconds[s],file_name,latitude[deg],longitude[deg],altitude_ellipsoidal[m],roll[deg],pitch[deg],heading[deg],projectedX[m],projectedY[m],projectedZ[m]
1315208401.889,pano_000000_000316,51.6347879,0.3053283,122.723,1.82298,-2.50182,-121.02355,559636.342,195402.82,77.436
1315208402.009,pano_000000_000317,51.6348008,0.3053676,122.704,1.70973,-2.21079,-121.01027,559639.016,195404.342,77.417
1315208402.129,pano_000000_000318,51.6348137,0.3054068,122.681,1.67553,-2.12681,-121.01281,559641.687,195405.863,77.393
1315208402.249,pano_000000_000319,51.6348267,0.305446,122.656,1.79158,-2.43713,-121.01048,559644.353,195407.387,77.368
1315208402.369,pano_000000_000320,51.6348396,0.3054852,122.634,1.93765,-2.47118,-120.91743,559647.02,195408.915,77.346
1315208402.489,pano_000000_000321,51.6348526,0.3055245,122.615,1.98617,-2.11705,-120.76351,559649.694,195410.44,77.328
1315208402.609,pano_000000_000322,51.6348654,0.3055638,122.59,2.05125,-2.18864,-120.66178,559652.367,195411.955,77.303
1315208402.729,pano_000000_000323,51.6348782,0.3056031,122.563,1.92293,-2.49781,-120.61108,559655.043,195413.459,77.275
1315208402.849,pano_000000_000324,51.6348909,0.3056426,122.543,1.74734,-2.34674,-120.64017,559657.728,195414.96,77.255
1315208402.969,pano_000000_000325,51.6349036,0.305682,122.523,1.65034,-2.09482,-120.6751,559660.412,195416.463,77.236
1315208403.089,pano_000000_000326,51.6349164,0.3057213,122.497,1.74135,-2.2497,-120.68498,559663.089,195417.971,77.209
1315208403.209,pano_000000_000327,51.6349293,0.3057606,122.47,1.9175,-2.39574,-120.65475,559665.764,195419.484,77.183
1315208403.329,pano_000000_000328,51.6349421,0.3058,122.447,2.0173,-2.24865,-120.62115,559668.443,195420.996,77.159
1315208403.449,pano_000000_000329,51.6349549,0.3058394,122.422,2.05878,-2.16053,-120.60741,559671.124,195422.504,77.134
1315208403.569,pano_000000_000330,51.6349676,0.3058788,122.395,2.08309,-2.31338,-120.59152,559673.804,195424.009,77.108
1315208403.689,pano_000000_000331,51.6349804,0.3059182,122.372,2.05456,-2.35702,-120.58021,559676.486,195425.513,77.085
1315208403.809,pano_000000_000332,51.6349931,0.3059576,122.352,1.99068,-2.19916,-120.57324,559679.171,195427.016,77.065
1315208403.929,pano_000000_000333,51.6350058,0.3059971,122.328,1.85379,-2.29569,-120.54795,559681.853,195428.514,77.041
1315208404.049,pano_000000_000334,51.6350185,0.3060365,122.307,1.71265,-2.42213,-120.51871,559684.537,195430.011,77.019
1315208404.169,pano_000000_000335,51.6350312,0.3060759,122.29,1.55735,-2.44144,-120.50037,559687.224,195431.507,77.003
1315208404.289,pano_000000_000336,51.6350439,0.3061154,122.274,1.4689,-2.3574,-120.47408,559689.911,195433.005,76.987
1315208404.409,pano_000000_000337,51.6350566,0.3061549,122.255,1.47324,-2.04483,-120.44554,559692.599,195434.506,76.968
1315208404.529,pano_000000_000338,51.6350693,0.3061943,122.221,1.53944,-2.45364,-120.42651,559695.279,195436.003,76.934
1315208404.649,pano_000000_000339,51.635082,0.3062337,122.198,1.53054,-2.57917,-120.42583,559697.963,195437.499,76.911
1315208404.769,pano_000000_000340,51.6350947,0.3062733,122.186,1.45456,-2.14911,-120.42335,559700.656,195438.997,76.899
1315208404.889,pano_000000_000341,51.6351073,0.3063127,122.165,1.45091,-2.1678,-120.4182,559703.342,195440.493,76.878
